alg	i	diff	solved	time	mem
Depth-first with AC3	37	medium	True	0.0065331459	220.1171875
Dancing Links	37	medium	True	0.0135490894	362.623046875
Genetic Algorithm	37	medium	True	1.7014298439	192.6728515625
Simulated Annealing	37	medium	True	2.3902902603	8.5302734375
Depth-first search	38	medium	True	0.0171599388	820.75
Depth-first with AC3	38	medium	True	0.0064287186	216.203125
Dancing Links	38	medium	True	0.0136342049	362.623046875
Genetic Algorithm	38	medium	True	1.4099109173	192.7900390625
Simulated Annealing	38	medium	True	2.3521630764	8.2216796875
Depth-first search	39	medium	True	0.0204410553	900.8359375
Depth-first with AC3	39	medium	True	0.0066082478	219.40625
Dancing Links	39	medium	True	0.0138938427	362.623046875
Genetic Algorithm	39	medium	True	1.2769360542	192.6962890625
Simulated Annealing	39	medium	True	0.4936089516	8.40625
Depth-first search	40	hard	True	0.0586071014	947.4140625
Depth-first with AC3	40	hard	True	0.0063948631	221.375
Dancing Links	40	hard	True	0.0146460533	493.263671875
Genetic Algorithm	40	hard	True	3.6434371471	380.580078125
Simulated Annealing	40	hard	True	1.1037008762	8.484375
Depth-first search	41	hard	True	0.0737700462	1014.2578125
Depth-first with AC3	41	hard	True	0.0091009140	222.25
Dancing Links	41	hard	True	0.0140872002	362.623046875
Genetic Algorithm	41	hard	False	32.5632231236	382.212890625
Simulated Annealing	41	hard	True	11.0293259621	8.66796875
Depth-first search	42	hard	True	0.0597949028	966.7421875
Depth-first with AC3	42	hard	True	0.0063710213	220.828125
Dancing Links	42	hard	True	0.0136089325	362.623046875
Genetic Algorithm	42	hard	True	3.6006948948	379.322265625
Simulated Annealing	42	hard	True	0.5130169392	8.466796875
Depth-first search	43	hard	True	0.0472760201	1069.3046875
Depth-first with AC3	43	hard	True	0.0090272427	222.9609375
Dancing Links	43	hard	True	0.0172889233	362.623046875
Genetic Algorithm	43	hard	True	19.9684500694	382.212890625
Simulated Annealing	43	hard	True	1.3426580429	8.6171875
Depth-first search	44	hard	True	0.0359523296	970.9296875
Depth-first with AC3	44	hard	True	0.0066061020	220.828125
Dancing Links	44	hard	True	0.0137691498	362.623046875
Genetic Algorithm	44	hard	True	5.6458878517	381.705078125
Simulated Annealing	44	hard	True	1.0959210396	8.466796875
Depth-first search	45	hard	True	0.0552868843	921.0625
Depth-first with AC3	45	hard	True	0.0061721802	220.1171875
Dancing Links	45	hard	True	0.0136628151	362.623046875
Genetic Algorithm	45	hard	True	6.3491230011	381.533203125
Simulated Annealing	45	hard	True	0.4269640446	8.2958984375
Depth-first search	46	hard	True	0.0285172462	1024.7109375
Depth-first with AC3	46	hard	True	0.0067956448	222.25
Dancing Links	46	hard	True	0.0140459538	362.623046875
Genetic Algorithm	46	hard	True	22.7588551044	382.212890625
Simulated Annealing	46	hard	True	1.0060119629	8.38671875
Depth-first search	47	hard	True	0.0468668938	937.4375
Depth-first with AC3	47	hard	True	0.0064220428	220.1171875
Dancing Links	47	hard	True	0.0136709213	362.623046875
Genetic Algorithm	47	hard	True	5.4869751930	381.009765625
